Club,Club_Position
Vasco da Gama,RB
AD Alcorcón,RCB
Terek Grozny,LB
Gimnàstic,RCB
RB Leipzig,Sub
Atlético Tucumán,RCM
Sarandí,CDM
Parque Patricios,RB
Santa Fe,Sub
Urawa Diamonds,CB
PSG,Res
Urawa Diamonds,RCB
Sampdoria,LCB
San Juan,ST
Sarandí,Sub
Indep. Medellín,Res
SM Caen,RW
Málaga CF,Res
Wolves,Res
Banfield,LB
Stade Rennais,LCB
Bor. Dortmund,Sub
Konyaspor,RB
Celtic,Sub
Joinville,Sub
Sport,ST
Criciúma,RS
Internacional,RAM
Atlético Mineiro,Sub
Avaí,LCM
Vitória,LAM
Santa Cruz,RAM
Sport,RDM
Internacional,LDM
Criciúma,Sub
Cruzeiro,Sub
Joinville,Sub
Grêmio,Sub
Criciúma,RCB
Joinville,LCB
Santos,RB
Ponte Preta,RB
Palmeiras,Sub
Palmeiras,RB
Internacional,LB
Fluminense,LB
Cruzeiro,RAM
Chapecoense,RDM
Botafogo,LCM
Atlético Mineiro,RB
Cruzeiro,LB
Coritiba,Sub
Atl. Paranaense,Sub
Bourg-Péronnas,LB
Valencia CF,Sub
Zenit,Sub
Spartak Moscow,Sub
SC Braga,Sub
Granada CF,Res
SC Freiburg,Sub
Uni. de Chile,Sub
Real Oviedo,Sub
Juventus,Res
Marítimo,Sub
KV Kortrijk,LCM
Milan,Res
PSV,Sub
Barnsley,RCB
Olym. Marseille,Res
RCD Mallorca,LCB
V. Guimarães,Sub
FC Utrecht,RB
Spartak Moscow,Sub
Heracles Almelo,RW
FC Utrecht,Res
Free Agents,Res
Celta Vigo,Sub
V. Setúbal,LM
Ulsan Hyundai,RM
OGC Nice,Sub
Arouca,Sub
FC Ufa,LWB
Viking FK,LW
Patronato,LCM
Envigado,RB
SD Huesca,LDM
FC Tokyo,RDM
Once Caldas,RCB
Paços Ferreira,Sub
Paços Ferreira,RB
VfB Stuttgart,Sub
San Juan,Sub
KV Oostende,LB
Celtic,LB
Elche CF,LDM
Birmingham City,LS
Udinese,Sub
PSV,Sub
OGC Nice,Sub
Avellino,RS
Nacional,LDM
RB Leipzig,Sub
Palermo,Sub
RB Salzburg,LCB
Junior,Sub
Kaizer Chiefs,RB
Spal,GK
Liverpool,Sub
KAS Eupen,Sub
Atlético Madrid,Res
Bournemouth,Sub
RCD Mallorca,Sub
AZ,LW
FC Utrecht,RCM
Audax Italiano,LS
CD O'Higgins,CDM
SD Huesca,GK
F. Santa Maria,LB
Junín,GK
Estoril Praia,LCB
Swansea City,Sub
FC Groningen,Sub
Girona CF,LCM
SD Huesca,ST
Nacional,LCB
Real Sociedad,Sub
1. FSV Mainz 05,Res
Atalanta,Res
Paços Ferreira,Sub
Estudiantes,Sub
Boavista,RCM
Tijuana,LCB
Çaykur Rizespor,Sub
Kayserispor,Sub
Club Brugge,Sub
Sarandí,GK
Konyaspor,Sub
AD Alcorcón,CAM
RB Leipzig,RB
SC Heerenveen,Sub
Fl. Varela,Sub
Real Betis,Sub
Paços Ferreira,RW
Kasimpaşa,Sub
Kasimpaşa,RB
Atlético Tucumán,RB
Celtic,Sub
Randers FC,RM
VfL Wolfsburg,Res
Vélez Sarsfield,LM
Incheon United,RCM
FC Dallas,Sub
Águilas Doradas,GK
Deportes Tolima,Sub
Chiapas,RCM
FC Tom Tomsk,Sub
Santa Fe,RDM
1. FC Nürnberg,Sub
Fleetwood Town,RCM
PEC Zwolle,CAM
Juventus,Res
NY Red Bulls,Sub
Jagiellonia,LM
FC Twente,CAM
AS Saint-Étienne,Sub
Free Agents,Res
Aytemiz Alanyaspor,Sub
Terek Grozny,LM
Brescia,Sub
Eint. Frankfurt,LM
Sporting KC,RW
Stade Rennais,Sub
Angers SCO,CDM
FC København,Sub
Terni,GK
RCD Mallorca,Sub
Chaves,LDM
CD O'Higgins,LCB
Unión Española,LCM
UD Almería,CAM
Genoa,Sub
Suwon Bluewings,LDM
Free Agents,Res
KV Mechelen,LB
Uni. de Chile,Sub
Sint-Truiden,Sub
Atlético Tucumán,Sub
G. La Plata,GK
Atlas,RS
Sagan Tosu,GK
Urawa Diamonds,GK
Nacional,LB
SJ Earthquakes,Sub
Terek Grozny,Sub
SJ Earthquakes,LCM
Ajax,Sub
FC Lausanne,CDM
Çaykur Rizespor,RCB
VfB Stuttgart,RB
Portland,RB
Salerno,Sub
Moreirense,ST
Bari,ST
Newell's,LCB
Sint-Truiden,LWB
Standard Liège,Sub
RSC Anderlecht,Sub
West Ham,Res
FC Sion,LCM
Chiapas,Sub
Waasl. Beveren,LDM
FC Metz,RCB
Patronato,Sub
Nacional,RCB
Rafaela,RCM
OGC Nice,Sub
CA Talleres,Sub
Getafe CF,Sub
Vélez Sarsfield,Sub
Vélez Sarsfield,CDM
FC Dallas,LS
Lanús,LCM
Junín,LB
Colo-Colo,Sub
FC Barcelona,Res
Uni. Católica,Sub
LOSC Lille,Sub
Uni. de Chile,LW
CD Huachipato,RS
Uni. de Chile,Sub
León,Sub
Boca Juniors,Sub
Guadalajara,ST
Unión Española,Res
Atl. Nacional,Res
Deportes Temuco,Sub
San Lorenzo,LB
Santos Laguna,Sub
Uni. de Chile,Sub
Junior,Sub
Atl. Nacional,Sub
Uni. de Chile,RCB
Gimnàstic,LS
Colo-Colo,LCB
Depor. Iquique,LCM
CD Palestino,LCB
Junior,LDM
Atlético Huila,RB
Atlas,Res
San Juan,Sub
CD Cobresal,Sub
Indep. Medellín,Sub
Girona CF,Sub
Deportes Tolima,RB
Atlético Bucaramanga,RCB
Anzhi Makhachkala,ST
Lechia Gdańsk,Sub
CD Everton,LCB
Free Agents,Res
Huddersfield,CAM
Guadalajara,Sub
Veracruz,Sub
Sp. Charleroi,Sub
Kashima Antlers,RS
Whitecaps FC,LM
SD Huesca,Sub
CA Talleres,RM
Columbus Crew SC,LCM
Querétaro,Sub
Karlsruher SC,LDM
Toulouse FC,Sub
RCD Mallorca,ST
Kaiserslautern,RM
Brisbane Roar,ST
SC Bastia,Sub
Tigre,RM
Genoa,Res
KVC Westerlo,RCB
Al Ahli,RM
Würzburger Kickers,RDM
Braunschweig,CDM
F. Düsseldorf,RCB
Stade Brestois,ST
FC Ingolstadt,Sub
Atalanta,Sub
Wigan Athletic,Res
Reading,LCM
Paços Ferreira,Sub
Free Agents,Res
Toulouse FC,Sub
Konyaspor,Sub
Boca Juniors,Res
Toulouse FC,RAM
SK Rapid Wien,LF
FC Metz,LM
CA Osasuna,ST
Panathinaikos,RCB
CD Numancia,RM
Crotone,Sub
Cruz Azul,Sub
Crotone,CM
Willem II,Sub
Perugia,Sub
Bologna,Sub
SV Sandhausen,RM
Atlético Tucumán,Sub
Lech Poznań,RB
Free Agents,Res
VfL Bochum,CAM
Al Ahli,Sub
Toulouse FC,Sub
Stade de Reims,RCB
Orlando Pirates,LCB
Millonarios,LCB
Rangers,LW
Uni. Católica,RB
Estoril Praia,LW
FC Midtjylland,Res
Tours FC,LCB
Gaziantepspor,Sub
PEC Zwolle,RB
SC Bastia,Sub
Union Berlin,LW
Al Hilal,Sub
Deportes Tolima,GK
Stabæk Fotball,GK
Al Ittihad,LCB
Al Nassr,Sub
PEC Zwolle,GK
Gençlerbirliği,Sub
Karlsruher SC,Sub
Deport. Alavés,Sub
SC Bastia,Sub
Cádiz C.F.,Sub
AS Saint-Étienne,Sub
VfL Bochum,Res
Belenenses,LM
Arminia Bielefeld,RCB
Toulouse FC,RB
ADO Den Haag,Sub
Free Agents,Res
Adanaspor,RB
AJ Auxerre,Sub
Ipswich,Sub
KRC Genk,LB
Urawa Diamonds,Sub
Crotone,Sub
Hearts,LM
Dijon FCO,RCB
Clermont Foot,LCM
Benevento,RDM
Roda JC,Sub
AJ Auxerre,Sub
FC København,Sub
Chelsea,Sub
NYCFC,RCM
Brentford,RDM
Moreirense,LW
Vicenza,RB
Marítimo,Sub
Wolves,Sub
Frosinone,CB
KV Mechelen,CAM
Moreirense,RCB
Free Agents,Res
Sparta R'dam,ST
Brøndby IF,LCB
Leeds United,Sub
QPR,CM
SD Huesca,Sub
FC Krasnodar,Sub
Rayo Vallecano,GK
Elche CF,Sub
CD Numancia,RDM
Kashiwa Reysol,RS
F. Santa Maria,RDM
Rubin Kazan,RB
Chelsea,Res
Millonarios,LS
SD Huesca,LM
Moreirense,CM
QPR,CB
KV Kortrijk,LB
Estoril Praia,Sub
Chaves,ST
RC Deportivo,Sub
Southampton,Sub
Charlton Ath,RCB
Gimnàstic,Sub
CD Numancia,Sub
Olym. Marseille,Sub
SV Sandhausen,LM
Sevilla Atlét.,RCB
CD Lugo,LM
SC Bastia,Sub
Waasl. Beveren,ST
BSC Young Boys,LCM
Piast Gliwice,RF
FC Sochaux,Sub
Unión Española,CM
Unión Española,RCM
Pescara,RF
CD Mirandés,LCB
Real Zaragoza,Res
Kaizer Chiefs,RAM
Yokohama F. Marinos,RM
Leeds United,Sub
Newcastle Utd,Sub
Rayo Vallecano,Sub
Blackburn Rovers,Sub
Willem II,LDM
Novara,RS
V. Setúbal,Sub
Greuther Fürth,CB
Ulsan Hyundai,ST
Sangju Sangmu,CAM
IFK Norrköping,Sub
Braunschweig,RS
Pogoń Szczecin,RB
Red Star FC,RB
Perth Glory,RB
Preston,RM
Krylya Sovetov,RCB
Trapani,CAM
Hearts,ST
Nott'm Forest,Res
FC Ural,RM
Vitesse,LCM
Gamba Osaka,Sub
FC Nordsjælland,RW
Suwon Bluewings,Sub
Pohang Steelers,Sub
Hearts,LCM
Rosario Central,Sub
Gençlerbirliği,RDM
Grasshopper,LCB
Pisa,LCB
Kawasaki Front.,Sub
FC St. Pauli,CAM
Crotone,Sub
Deportes Tolima,Res
Free Agents,Res
FC Ural,RB
Wolves,LB
Real Oviedo,RB
Aberdeen,CAM
Ross County,RS
FC Orenburg,Sub
Legia Warszawa,Sub
Go Ahead Eagles,LW
SV Darmstadt,ST
Reading,Sub
Rayo Vallecano,Sub
Akhisarspor,CAM
Union Berlin,RW
Lokomotiv Moscow,Sub
Wolves,Res
Burnley,Sub
PEC Zwolle,RM
Aalborg BK,GK
Well. Phoenix,LCM
Chicago Fire,Res
KV Mechelen,GK
Antalyaspor,RM
FC St. Pauli,LM
Würzburger Kickers,LCB
VfB Stuttgart,LCB
FC Midtjylland,RM
Querétaro,RCB
Atlético Tucumán,Sub
Sparta R'dam,RW
Brighton,Sub
FC Barcelona,Sub
Angers SCO,Res
Willem II,GK
Feyenoord,Sub
Sp. Charleroi,Sub
FC Groningen,LS
Bursaspor,Sub
1. FC Heidenheim,LCB
Anzhi Makhachkala,Sub
Stade Rennais,Sub
RB Salzburg,Sub
Sangju Sangmu,RB
Jeonbuk Hyundai,RCM
Hellas Verona,LCB
Melbourne City,LCM
Malmö FF,RB
IF Elfsborg,LS
Columbus Crew SC,Sub
CD Tenerife,Sub
Brisigonza,Sub
Braunschweig,Sub
Girona CF,LWB
Adanaspor,LM
Angers SCO,Sub
Dijon FCO,Sub
Monarcas Morelia,Sub
Córdoba CF,ST
Brentford,GK
Derby County,LM
Fulham,LCB
CD Tenerife,Sub
Free Agents,Res
Salerno,LCB
CF Reus Deportiu,RCB
Trabzonspor,Sub
Wigan Athletic,LCB
Toronto FC,LM
FC Ufa,Sub
Águilas Doradas,LCB
Chievo Verona,Sub
Udinese,Res
Dijon FCO,Sub
New England,CAM
Celtic,Sub
CD Numancia,LDM
F. Düsseldorf,LB
Sheffield Wed,RS
Cruz Azul,Sub
Terek Grozny,Sub
La Spezia,Sub
Elche CF,GK
Rotherham Utd,ST
UD Almería,RCB
N.E.C.,GK
Lechia Gdańsk,RS
Wolves,ST
Arminia Bielefeld,LCB
RCD Mallorca,LM
Sheffield Wed,RB
Anzhi Makhachkala,LM
Sporting Gijón,Sub
V. Setúbal,Sub
BSC Young Boys,RM
Vitesse,Sub
UD Almería,LCB
FC Sochaux,Sub
Córdoba CF,Sub
Melbourne City,Sub
Rayo Vallecano,Sub
Newcastle Utd,GK
Cardiff City,RB
Toronto FC,Sub
Union Berlin,RB
Fulham,LB
AZ,Res
Rio Ave,LCB
Braunschweig,Sub
SD Huesca,RCB
Lechia Gdańsk,LS
Atlético Tucumán,Sub
Toulouse FC,Sub
Hannover 96,LB
Union Berlin,ST
Stade de Reims,Sub
Karabükspor,LCB
VfL Bochum,Sub
FC Lorient,Sub
Córdoba CF,RCB
FC St. Pauli,Sub
Arminia Bielefeld,CAM
Brentford,CAM
FC St. Pauli,LDM
Aston Villa,Sub
Hannover 96,Sub
Crotone,LW
Atalanta,Sub
Tigres,Sub
KV Mechelen,RDM
Vissel Kobe,Sub
Al Nassr,Sub
Aytemiz Alanyaspor,Sub
Dynamo Dresden,LCM
SK Sturm Graz,ST
KVC Westerlo,LDM
Viking FK,LCM
Rio Ave,Sub
Leeds United,Sub
Lech Poznań,Sub
Hannover 96,Sub
SV Darmstadt,Sub
Columbus Crew SC,Res
Santos Laguna,Sub
Free Agents,Res
Sporting KC,RB
Gimnàstic,LWB
Philadelphia,LM
Cracovia,CAM
Cesena,Sub
Molde FK,RCB
Molde FK,LS
Odds BK,RCB
CA Osasuna,Res
FC Lorient,RCB
Lech Poznań,LDM
SK Brann,Sub
Cardiff City,RM
Al Batin,RCB
CA Osasuna,LCB
Willem II,CAM
RB Salzburg,RCB
Bristol City,Sub
Boavista,Sub
Akhisarspor,LDM
Kasimpaşa,ST
Palermo,RB
Odense BK,LM
Carpi,GK
Aberdeen,RDM
Cardiff City,RCM
Brighton,Sub
Greuther Fürth,LS
Girona CF,LS
Stade Brestois,RB
CD Tenerife,LB
Willem II,LB
Real Zaragoza,LM
ADO Den Haag,LB
Brisigonza,LS
Montpellier HSC,Sub
Sheffield Wed,Sub
Dijon FCO,LB
KV Kortrijk,GK
Sport. Lokeren,RB
Sint-Truiden,Sub
Sampdoria,Sub
CA Osasuna,Res
Uni. Católica,Sub
Hannover 96,Sub
Trabzonspor,Sub
Gimnàstic,Sub
Legia Warszawa,Sub
AS Nancy,Sub
Derby County,LB
KAA Gent,Sub
Akhisarspor,Sub
Querétaro,Sub
Anzhi Makhachkala,RB
Arsenal Tula,Sub
Arouca,Res
Panathinaikos,Sub
Guadalajara,Sub
Guadalajara,LCB
U.N.A.M.,LCM
CD Huachipato,RCB
Derby County,Sub
Uni. de Chile,Sub
Gaziantepspor,Sub
Rayo Vallecano,Sub
Toluca,Sub
Marítimo,Sub
Leeds United,RB
Novara,LS
Reading,Sub
IFK Norrköping,RM
Pescara,Sub
Perugia,RCB
Derby County,CAM
Antalyaspor,RDM
Würzburger Kickers,LM
Santos Laguna,Sub
FC Seoul,RM
Salerno,RB
Carpi,LCM
QPR,Res
Willem II,RDM
EA Guingamp,Sub
Estoril Praia,RW
KV Kortrijk,CF
Real Oviedo,Sub
Austria Wien,CAM
Birmingham City,CM
VfB Stuttgart,Sub
Sp. Charleroi,RS
FC Metz,RDM
Stade de Reims,LCB
F. Santa Maria,LDM
Aberdeen,RB
Levante UD,Sub
Arminia Bielefeld,Sub
Sint-Truiden,Sub
1. FC Nürnberg,GK
SV Sandhausen,RCB
RC Lens,Sub
Erzgebirge Aue,GK
Seongnam FC,CAM
Well. Phoenix,RW
Sp. Charleroi,Sub
FC Lorient,CDM
Nîmes Olympique,Sub
Sydney FC,LCB
KV Mechelen,Sub
Kayserispor,LCB
Free Agents,Res
Adelaide United,LB
Shonan Bellmare,ST
FC Ingolstadt,Sub
América,CM
Preston,Sub
Orlando Pirates,RB
KV Oostende,RB
LA Galaxy,Sub
Genoa,Sub
Chaves,LCB
Terni,Sub
Salerno,LB
Free Agents,Res
KVC Westerlo,Sub
1860 München,Sub
Wigan Athletic,LW
Feyenoord,Sub
Legia Warszawa,RB
AD Alcorcón,LB
SC Freiburg,Sub
Union Berlin,CDM
Konyaspor,LS
F. Düsseldorf,CDM
1. FC Heidenheim,RB
AS Nancy,Sub
Aberdeen,ST
Colo-Colo,RM
Strømsgodset IF,ST
Atl. Nacional,Sub
Chicago Fire,GK
Nacional,Sub
Free Agents,Res
Kawasaki Front.,GK
Arouca,ST
Sport. Lokeren,ST
Sydney FC,RM
KV Oostende,Sub
Brighton,RS
Perth Glory,LCB
Reading,Sub
Charlton Ath,Res
Preston,RB
Orlando City,LM
SV Sandhausen,GK
CF Reus Deportiu,ST
Gimnàstic,GK
Free Agents,Res
ES Troyes AC,Res
Reading,Sub
Ipswich,Sub
Belgrano,ST
Clermont Foot,Sub
Real Oviedo,Sub
Getafe CF,Sub
Real Oviedo,GK
Monterrey,Sub
Perugia,Sub
Sp. Charleroi,LCB
Reading,ST
Bristol City,Sub
Birmingham City,Sub
Burton Albion,LCB
Birmingham City,Sub
Birmingham City,Sub
Cardiff City,Sub
Rangers,Sub
Nott'm Forest,Res
QPR,RCM
FC Ural,Res
FC Groningen,Sub
NY Red Bulls,RCB
Nott'm Forest,GK
Kashima Antlers,LS
Cardiff City,Sub
Zenit,Res
Krylya Sovetov,LCB
Cruz Azul,LB
Chaves,Sub
Pohang Steelers,ST
Pogoń Szczecin,RDM
CA Osasuna,Sub
Le Havre AC,RCB
SC Bastia,Sub
Nott'm Forest,Sub
Greuther Fürth,Sub
Brisbane Roar,RCM
Orlando City,RB
Pescara,Sub
CD Leganés,Sub
Santos Laguna,Sub
Orlando City,LCB
Sanfrecce Hiroshima,CB
Le Havre AC,LS
RCD Mallorca,CAM
Empoli,Sub
Monarcas Morelia,Sub
Hannover 96,GK
FC København,RCM
SV Darmstadt,Sub
Toluca,LB
Cruz Azul,CAM
BK Häcken,RCB
Necaxa,LCB
Orlando City,LDM
FC Utrecht,Res
Urawa Diamonds,LCM
Cruz Azul,Sub
Nott'm Forest,Sub
Nott'm Forest,Sub
Wolves,GK
RC Strasbourg,CAM
Nott'm Forest,Res
Akhisarspor,Sub
Odds BK,RCM
Braunschweig,Sub
Perugia,GK
Leicester City,Sub
Legia Warszawa,GK
Free Agents,Res
Lokomotiv Moscow,Res
Sporting Gijón,CDM
Real Betis,Sub
CF Reus Deportiu,LDM
Córdoba CF,RM
Getafe CF,Sub
Karabükspor,GK
RB Salzburg,Sub
Uni. de Chile,CAM
Parque Patricios,Sub
Randers FC,RB
FC Orenburg,CAM
Burton Albion,LM
Wigan Athletic,CB
V. Guimarães,Sub
Toluca,Sub
Monarcas Morelia,Sub
Port Vale,Sub
Sunderland,Sub
KV Oostende,RCB
D.C. United,RW
Esbjerg fB,LCM
AS Nancy,LCB
AJ Auxerre,CM
Trapani,LB
Vicenza,GK
Real Zaragoza,Sub
Greuther Fürth,Sub
Chievo Verona,Res
Roma,Sub
Suwon Bluewings,RB
CD O'Higgins,ST
Melbourne City,GK
Nott'm Forest,Sub
Preston,Sub
Aalborg BK,RCM
Kasimpaşa,RDM
FC København,Sub
KVC Westerlo,LCB
Çaykur Rizespor,LB
Novara,RCB
Cesena,Sub
Norwich,Sub
RB Salzburg,GK
Sport. Lokeren,GK
Atlético Bucaramanga,Sub
Elche CF,ST
UD Almería,RDM
Cádiz C.F.,GK
Heracles Almelo,GK
Cesena,GK
IFK Norrköping,GK
Ross County,Sub
FC Augsburg,Sub
Celtic,Sub
Rotherham Utd,Sub
Bristol City,RDM
BSC Young Boys,LCB
Dijon FCO,LCB
CD Numancia,CAM
Rangers,Sub
US Orléans,CAM
Aarhus GF,ST
Houston Dynamo,LB
Celtic,Sub
Huddersfield,Sub
Rangers,LCB
Panathinaikos,Sub
Hearts,Sub
Burnley,Sub
CF Reus Deportiu,Sub
Wigan Athletic,GK
Ajax,Sub
Real Betis,Res
Standard Liège,Sub
Portland,RDM
SC Braga,Res
Palmeiras,LS
Figueirense,RM
Vitória,Sub
Goiás,LAM
Coritiba,Sub
Coritiba,Sub
Palmeiras,Sub
Sevilla Atlét.,Sub
CA Osasuna,Res
Udinese,Res
Atalanta,Res
Unión,LM
KRC Genk,Sub
V. Guimarães,LB
Sporting CP,Res
Gaziantepspor,Sub
Spal,RM
Trabzonspor,Sub
Orlando City,RCB
Olympiakos CFP,LCB
Junior,CAM
V. Setúbal,RM
Boavista,LB
Moreirense,LB
Adanaspor,LB
Belenenses,RCB
Sevilla Atlét.,GK
SD Huesca,LCB
FC Orenburg,RB
PEC Zwolle,LB
Marítimo,LB
Sevilla Atlét.,RB
Sporting Gijón,Res
Real Sociedad,Res
Santa Cruz,Sub
Palmeiras,Sub
Figueirense,LDM
Vasco da Gama,GK
Criciúma,Sub
Sevilla Atlét.,LB
Free Agents,Res
Hannover 96,Sub
Wisła Kraków,RCM
Kawasaki Front.,LDM
Kawasaki Front.,LB
FC Barcelona,Res
Cádiz C.F.,LDM
Atlético Tucumán,RM
Kashima Antlers,RCB
Sagan Tosu,Sub
Gamba Osaka,Sub
Sanfrecce Hiroshima,Sub
Urawa Diamonds,RM
Bursaspor,Sub
NYCFC,LB
Indep. Medellín,Sub
Valencia CF,Res
Philadelphia,RB
Östersunds FK,LS
Villarreal CF,Res
FC Basel,Sub
KV Oostende,ST
Sevilla Atlét.,RM
Patriotas,ST
V. Setúbal,LCM
Toulouse FC,Res
1. FSV Mainz 05,Sub
EA Guingamp,Sub
1. FC Heidenheim,RCB
Coritiba,Sub
Palmeiras,Sub
Cruzeiro,RDM
Avaí,Sub
São Paulo,LCB
São Paulo,LB
Ponte Preta,Sub
Fluminense,GK
Fluminense,Sub
Fluminense,Sub
Coritiba,LAM
Grêmio,Sub
Figueirense,RDM
Palmeiras,Sub
Atlético Mineiro,Sub
A. Minas G.,RB
A. Minas G.,Sub
Real Valladolid,Sub
Stade Rennais,Sub
SD Huesca,Sub
Rafaela,CAM
Leicester City,Sub
Real Oviedo,Sub
Sanfrecce Hiroshima,Sub
Boavista,Sub
RC Deportivo,Res
KV Kortrijk,LCB
Gimnàstic,RWB
Hannover 96,Sub
Uni. Concepción,RW
Deportes Temuco,LW
PAOK,Sub
Uni. Concepción,LW
Excelsior,RDM
SD Eibar,Sub
Pachuca,RCM
Sint-Truiden,RS
Boavista,RB
FC Barcelona,Res
Bourg-Péronnas,LM
Free Agents,Res
Jeonnam Dragons,RCB
CA Osasuna,RB
FC Groningen,LM
Ajax,Res
1. FSV Mainz 05,Sub
CF Reus Deportiu,LM
Bari,Res
Whitecaps FC,RM
Cádiz C.F.,LB
Tigre,LDM
Bursaspor,RB
Inter,Res
Montpellier HSC,Res
Braunschweig,LS
Boca Juniors,LCM
Atlas,Sub
Once Caldas,Sub
Junior,Res
Indep. Medellín,Res
Whitecaps FC,RCB
Racing Club,Sub
FC Ingolstadt,Sub
Feyenoord,Sub
Mar del Plata,CB
Mar del Plata,Sub
Paços Ferreira,Sub
SC Heerenveen,Sub
Parque Patricios,Sub
Marítimo,LW
Estudiantes,Sub
SL Benfica,Res
Once Caldas,Sub
Royal Mouscron,LM
FC Midtjylland,RCM
Werder Bremen,Res
Piast Gliwice,Sub
Dijon FCO,Sub
AS Monaco,Sub
Free Agents,Res
Chelsea,Res
Willem II,ST
Huddersfield,Sub
Juventus,Res
Ind. Santa Fe,RCM
F. Santa Maria,Res
Free Agents,Res
Sporting Gijón,Res
CD Tenerife,RCB
FC St. Gallen,Sub
AJ Auxerre,RCM
Free Agents,Res
AD Alcorcón,Sub
Boca Juniors,Sub
Bursaspor,RCB
Orlando Pirates,Sub
Rosario Central,RB
Arsenal Tula,Sub
Real Valladolid,LCM
Cagliari,Sub
Belgrano,Sub
Brentford,Sub
Excelsior,LCB
Tijuana,Sub
CF Reus Deportiu,Sub
Parque Patricios,Sub
Dynamo Dresden,GK
KV Mechelen,Res
Paços Ferreira,RDM
CD Mirandés,CDM
Kayserispor,LDM
Lanús,Sub
Kayserispor,LB
Gençlerbirliği,Sub
Sevilla Atlét.,RDM
SV Sandhausen,Sub
EA Guingamp,Sub
Terek Grozny,Sub
Krylya Sovetov,Sub
Bursaspor,Sub
CF Reus Deportiu,RM
Cádiz C.F.,CAM
Dijon FCO,Sub
Nîmes Olympique,RCB
Akhisarspor,LB
Antalyaspor,Sub
Wolves,Sub
Terek Grozny,LDM
Genoa,Sub
Nott'm Forest,Res
FC Sion,Sub
Rio Ave,Sub
SC Heerenveen,Sub
Ipswich,RCM
Parque Patricios,Sub
Ipswich,Sub
Philadelphia,LCB
KV Mechelen,Sub
Stade Brestois,RW
Indep. Medellín,Sub
Udinese,Sub
Paços Ferreira,Sub
KAA Gent,Sub
Millonarios,RB
Atlético Bucaramanga,Sub
Indep. Medellín,Res
Uni. Católica,Res
Giron. Bordeaux,Sub
Vélez Sarsfield,Sub
Córdoba CF,Sub
SV Darmstadt,Res
Lazio,Sub
Estoril Praia,Sub
Lanús,Sub
Al Ittihad,Sub
Orlando Pirates,Res
Roda JC,CAM
Terni,ST
Deportes Temuco,ST
Eint. Frankfurt,Sub
Kaiserslautern,LB
Hellas Verona,Sub
Sarandí,Sub
Le Havre AC,Sub
Estoril Praia,RCB
Club Brugge,Sub
GFC Ajaccio,RCB
Kaizer Chiefs,RCB
Pescara,RB
Sint-Truiden,Sub
Le Havre AC,LCB
AZ,Sub
Tondela,RB
Unión,Sub
Al Ittihad,LDM
Çaykur Rizespor,Sub
Millonarios,Sub
Wolves,Sub
Stade Lavallois,Sub
Santa Fe,Sub
Colo-Colo,Sub
Vissel Kobe,Sub
Derby County,RDM
Santos Laguna,LM
FC Nordsjælland,GK
Avellino,RB
Once Caldas,RDM
Osmanlıspor,Sub
América,Sub
PAOK,Sub
Rio Ave,Sub
Dynamo Dresden,ST
CD Mirandés,RW
Sunderland,Sub
Dynamo Dresden,LM
Clermont Foot,RM
Estoril Praia,Sub
Carpi,RCB
G. La Plata,RB
Roda JC,RDM
FC Sochaux,Sub
Eint. Frankfurt,Sub
Heracles Almelo,Sub
1. FC Köln,Sub
ES Troyes AC,RB
Millonarios,Sub
Quilmes,LCB
FC Ufa,Sub
Belgrano,Res
Quilmes,GK
Stade Rennais,LM
Junín,RCB
Boca Juniors,Sub
Racing Club,RM
Lanús,Sub
Tigre,GK
Vélez Sarsfield,Sub
Estudiantes,Sub
Real Oviedo,Sub
Depor. Iquique,ST
Colo-Colo,Sub
Lanús,LB
Real Valladolid,LB
CD Everton,RW
Unión Española,Sub
Tigre,Sub
CD Antofagasta,Sub
Atl. Nacional,Sub
Pachuca,Sub
Atl. Nacional,Sub
Ind. Santa Fe,Sub
Junior,Sub
CD Huachipato,CAM
Uni. de Chile,Sub
La Equidad,Sub
CD Huachipato,LCB
Deportes Tolima,LDM
Junior,RCB
Patriotas,CDM
Deportes Tolima,Sub
Al. Petrolera,ST
Patriotas,LB
Houston Dynamo,CM
Atlético Bucaramanga,Sub
Atlético Huila,Sub
Deportivo Cali,Sub
IFK Norrköping,RB
Blackburn Rovers,Sub
RC Strasbourg,LS
Pescara,Sub
Wanderers,CAM
SK Brann,RCB
PEC Zwolle,Sub
Manchester Utd,Res
Feyenoord,Sub
CD O'Higgins,Sub
Molde FK,LDM
Terek Grozny,RDM
Nagoya,ST
Spartak Moscow,LM
Banfield,RM
FC Ingolstadt,Sub
Dijon FCO,LCM
Wolves,Sub
CD Palestino,ST
CD Antofagasta,LW
FC Basel,Sub
Nacional,ST
New England,RB
Guadalajara,Res
Cesena,CAM
Latina,Sub
Rafaela,Sub
FC Utrecht,Sub
VfB Stuttgart,LM
Waasl. Beveren,Sub
Free Agents,Res
Amkar Perm,LWB
RB Leipzig,Sub
Karlsruher SC,GK
Dynamo Dresden,CDM
Braunschweig,Sub
Würzburger Kickers,Sub
Jeju United,LM
Krylya Sovetov,LCM
Cesena,LDM
Unión Española,LCB
Legia Warszawa,RDM
Cardiff City,Sub
Feyenoord,Sub
Gimnàstic,LCM
Celtic,Sub
Austria Wien,ST
Free Agents,Res
Nott'm Forest,LM
Rio Ave,Res
Greuther Fürth,LCB
Carpi,Res
